#x (m)	potential (J)
0	5.25E-16
6.34953E-12	8.90E-15
1.15645E-11	2.25E-14
1.77825E-11	5.40E-14
2.51022E-11	1.06E-13
3.29161E-11	1.74E-13
4.0612E-11	2.53E-13
4.92083E-11	3.50E-13
5.97231E-11	4.71E-13
7.03492E-11	5.85E-13
7.68381E-11	6.46E-13
8.42551E-11	7.02E-13
9.18953E-11	7.45E-13
1.00073E-10	7.68E-13
1.04991E-10	7.73E-13
1.07177E-10	7.73E-13
1.12095E-10	7.68E-13
1.20273E-10	7.45E-13
1.27913E-10	7.02E-13
1.3533E-10	6.46E-13
1.41819E-10	5.85E-13
1.52445E-10	4.71E-13
1.6296E-10	3.50E-13
1.71556E-10	2.53E-13
1.79252E-10	1.74E-13
1.87066E-10	1.06E-13
1.94386E-10	5.40E-14
2.00604E-10	2.25E-14
2.05818E-10	8.90E-15
2.12168E-10	-7.64E-17
